"Kallesignal","Type","QTH","Freq TX","Freq RX","Gruppe","Lokator","Info","status"
"LD1FE","APRS","Svartåsen/Enebakk","144.8000","144.8000","Follo","JO59MS","",""
"LD1FL","APRS","Svartåsen/Enebakk","433.7750","433.7750","Follo","JO59MS","",""
"LD1FO","Winlink Packet","Stangåsen/Oppegård","144.9250","144.9250","Follo","JO59JS","",""
"LD1FR","FM/C4FM","Barbertoppen","145.6875","145.0875","Fredrikstad","JO59LF","DCS-125/67",""
"LD1FV","Winlink Packet","Voksenkollen/Oslo","144.9250","144.9250","Follo","JO59HX","",""
"LD1HQ","DMR Repeater","Oslo/Potabel","434.8000","432.8000","NRRL","na","",""
"LD1KO","APRS IGate","Kolsåstoppen","144.8000","144.8000","Asker og Bærum","JO59GW","",""
"LD1MD","APRS","Mysen/Dalshøgda","144.8000","144.8000","Moss","JO59QM","",""
"LD1NR","DMR Repeater","Kjeller","434.6375","432.6375","Romerike","JO59MX","ID:242006","Planlagt"
"LD1OA","DMR Repeater","Røverkollen","434.8875","432.8875","Oslo","JO59KX","ID: 242002",""
"LD1OE","APRS","Brannfjell","144.8000","144.8000","Oslo","JO59JV","",""
"LD1ON","D-Star link","Nesodden","144.9000","144.9000","Oslo","JO59HU","",""
"LD1OS","APRS","Oslo Sentrum","144.8000","144.8000","Oslo","JO59IV","",""
"LD1OT-A","FM+ DSTAR DV","Tryvann","1297.1000","1291.1000","Oslo","JO59IX","/123",""
"LD1OT-B","DSTAR Repeater","Tryvann","434.8625","432.8625","Oslo","JO59IX","",""
"LD1SG","DMR Repeater","Grålum","434.8125","432.8125","Sarpsborg","JO59MG","ID: 242808",""
"LD2BI","APRS","Bislingen","144.8000","144.8000","Ringerike","JP50HF","",""
"LD2EM-C","DSTAR Repeater","Mistberget/Eidsvoll","145.5750","144.9750","Gardermoen","JP50NJ","",""
"LD2ER","APRS","Langberget/Elverum","144.8000","144.8000","Hamar","JP50US","",""
"LD2FN","APRS","Fagernes","144.8000","144.8000","Lillehammer","JP41LA","",""
"LD2GB","APRS IGate","Dombås","144.8000","144.8000","Gudbrandsdal","JP42NC","","QRT"
"LD2GC","APRS IGate","Lesjaskog","144.8000","144.8000","Innlandsnettet","JP42EF","",""
"LD2GD","APRS","Gudbrandsdalen","144.8000","144.8000","Gudbrandsdal","JP41SS","","QRT"
"LD2GF","APRS IGate","Folldal","144.8000","144.8000","Innlandsnettet","JP42VE","",""
"LD2GG","APRS","Gudbrandsdalen/Gålå","144.8000","144.8000","Gudbrandsdal","JP41VM","",""
"LD2GI","APRS","Høykorset","144.8000","144.8000","Gjøvik og Toten","JP50HL","",""
"LD2GM","APRS","Dombås Skisenter","144.8000","144.8000","Gjøvik og Toten","JP42NB","","QRT"
"LD2GN","APRS","Nordhue","144.8000","144.8000","Gjøvik og Toten","JP50QX","",""
"LD2GO","APRS","Trysilfjellet","144.8000","144.8000","Gjøvik og Toten","JP61CH","",""
"LD2GP","APRS","Storhorta","144.8000","144.8000","Gjøvik og Toten","JP51NH","",""
"LD2GQ","APRS","Biri","144.8000","144.8000","Gjøvik og Toten","JP50GX","","QRT"
"LD2GR","APRS","Reinsvoll","144.8000","144.8000","Gjøvik og Toten","JP50IQ","",""
"LD2GS","APRS","Tverrberget","144.8000","144.8000","Gjøvik og Toten","JP40QU","",""
"LD2GT","APRS","Rånåkollen","144.8000","144.8000","Gjøvik og Toten","JP42CF","","QRT"
"LD2GU","APRS","Torseterkampen","144.8000","144.8000","Gjøvik og Toten","JP50LN","","QRT"
"LD2GV","APRS IGate","Sølenstua","144.8000","144.8000","Gjøvik og Toten","JP51UU","","QRT"
"LD2HA","APRS","Romedal","144.8000","144.8000","Hamar","JP50JU","",""
"LD2HG","APRS","Gråhøgda/Hummelfjell","144.8000","144.8000","Innlandsnettet","JP52PK","","QRT"
"LD2HJ","DMR Repeater","Stenfjellhytta/Vangsåsen","434.7000","432.7000","Hamar","JP50OW","QRT ID: 242601","QRT"
"LD2HT-B","DMR/DSTAR","Romsås/Oslo","434.1000","434.1000","Ham-Tech","JO59KX","ID: 242055",""
"LD2JB","APRS","Jetta","144.8000","144.8000","Gudbrandsdal","JP41PV","",""
"LD2KF","APRS","Rafjellet","144.8000","144.8000","Kongsvinger","JP60BH","",""
"LD2KR","FM Repeater","Rafjellet","434.5625","432.5625","Kongsvinger","JP60BH","71.9",""
"LD2KS","APRS","Holtberget","144.8000","144.8000","Kongsvinger","JP60AF","",""
"LD2LH","APRS","Lillehammer","144.8000","144.8000","Lillehammer","JP51GD","",""
"LD2LK","APRS","Kråkhugu","144.8000","144.8000","Innlandsnettet","JP51CA","",""
"LD2LT","APRS","Hamar","144.8000","144.8000","Hamar","JP50QT","",""
"LD2OH","APRS","Østerud/Hurdal","144.8000","144.8000","Gardermoen","JP50MI","",""
"LD2RI","APRS","Valebykampen/Gran","144.8000","144.8000","Ringerike","JP50HJ","QRT","QRT"
"LD2RK","APRS","Kopperudåsen/Romeriket","144.8000","144.8000","Gardermoen","JP50PF","",""
"LD2TR","APRS","Tron","144.8000","144.8000","Innlandsnettet","JP52IE","",""
"LD2VR-C","DSTAR Repeater","Valebykampen","144.9375","144.9375","Ringerike","JP50HJ","",""
"LD2WA","Winlink Packet","Nordhue/Ingerstua","144.9250","144.9250","Gjøvik og Toten","JP50QX","433.7250",""
"LD2WB","Winlink Packet","Kråkhugukampen","144.9250","144.9250","Gjøvik og Toten","JP41PV","433.7250",""
"LD2WC","Winlink Packet","Tron","144.9250","144.9250","Gjøvik og Toten","JP52IE","433.7250",""
"LD2WD","Winlink Packet","Torseterkampen","144.9250","144.9250","Gjøvik og Toten","JP50LN","433.7250",""
"LD3BD","APRS","Bronane/Drangedal","144.8000","144.8000","Grenland","JO49LF","",""
"LD3BL","APRS","Lifjell/Bø","144.8000","144.8000","Grenland","JO49ML","",""
"LD3DD","D-Star link","Lier","434.5750","432.5750","Drammen","JO59CT","",""
"LD3DG","DMR Repeater","Gaustatoppen","434.5875","432.5875","Tønsberg","JO49HU","QRT ID: 242702","QRT"
"LD3DN","APRS","Konnerud","144.8000","144.8000","Drammen","JO59BR","",""
"LD3DP","DMR Repeater","Drammen/Portabel","434.9625","432.9625","Drammen","","ID: 242651",""
"LD3DV","DMR Repeater","Vardåsen/Drammen","434.5250","432.5250","Drammen","JO59CS","ID: 242650",""
"LD3DW","Winlink Packet","Kraftkollen","144.9250","144.9250","Drammen","JO59DU","QRT",""
"LD3GB","APRS","Gautefall/Bjørndalsmyra","144.8000","144.8000","Grenland","JO49ID","",""
